44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
08:22:59.0 (366421)|USER_INFO|[EXTERNAL]|00518000002hPQO|matthew.billups@matsonmoney.com.mbill|Mountain Standard Time|GMT-07:00
08:22:59.0 (407851)|EXECUTION_STARTED
08:22:59.0 (413151)|CODE_UNIT_STARTED|[EXTERNAL]|VisualForce View State
08:22:59.0 (6272910)|CODE_UNIT_FINISHED|VisualForce View State
08:22:59.0 (7328523)|EXECUTION_FINISHED
08:22:59.11 (11781003)|USER_INFO|[EXTERNAL]|00518000002hPQO|matthew.billups@matsonmoney.com.mbill|Mountain Standard Time|GMT-07:00
08:22:59.74 (74098370)|CODE_UNIT_STARTED|[EXTERNAL]|01qm00000000vtc|EventsTrigger on Event trigger event BeforeInsert|__sfdc_trigger/EventsTrigger
08:22:59.74 (74168033)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
08:22:59.74 (74539351)|HEAP_ALLOCATE|[72]|Bytes:3
08:22:59.74 (74582444)|HEAP_ALLOCATE|[77]|Bytes:152
08:22:59.74 (74597602)|HEAP_ALLOCATE|[342]|Bytes:408
08:22:59.74 (74609859)|HEAP_ALLOCATE|[355]|Bytes:408
08:22:59.74 (74621187)|HEAP_ALLOCATE|[467]|Bytes:48
08:22:59.74 (74650182)|HEAP_ALLOCATE|[139]|Bytes:6
08:22:59.74 (74678479)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:22:59.74 (74687618)|VARIABLE_SCOPE_BEGIN|[1]|this|EventsTrigger|true|false
08:22:59.74 (74735699)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x52700176
08:22:59.74 (74793971)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:22:59.74 (74802074)|VARIABLE_SCOPE_BEGIN|[1]|this|EventsTrigger|true|false
08:22:59.74 (74814760)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x52700176
08:22:59.74 (74822273)|STATEMENT_EXECUTE|[1]
08:22:59.74 (74824521)|STATEMENT_EXECUTE|[4]
08:22:59.74 (74827153)|HEAP_ALLOCATE|[4]|Bytes:6
08:22:59.74 (74856108)|HEAP_ALLOCATE|[50]|Bytes:5
08:22:59.74 (74880038)|HEAP_ALLOCATE|[56]|Bytes:5
08:22:59.74 (74888707)|HEAP_ALLOCATE|[64]|Bytes:7
08:22:59.74 (76335996)|HEAP_ALLOCATE|[4]|Bytes:27
08:22:59.74 (76352899)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
08:22:59.74 (76359115)|STATEMENT_EXECUTE|[1]
