42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:24:34.0 (298241)|USER_INFO|[EXTERNAL]|00518000002hPQO|matthew.billups@matsonmoney.com.mbill|Mountain Standard Time|GMT-07:00
14:24:34.0 (343902)|EXECUTION_STARTED
14:24:34.0 (349071)|CODE_UNIT_STARTED|[EXTERNAL]|01pm0000000YfZw|ffhttp_ClientTest.buildHttpRequest_addsExtraHeadersCorrectly()
14:24:34.0 (782786)|HEAP_ALLOCATE|[72]|Bytes:3
14:24:34.0 (824996)|HEAP_ALLOCATE|[77]|Bytes:152
14:24:34.0 (839523)|HEAP_ALLOCATE|[342]|Bytes:408
14:24:34.0 (855235)|HEAP_ALLOCATE|[355]|Bytes:408
14:24:34.0 (867913)|HEAP_ALLOCATE|[467]|Bytes:48
14:24:34.0 (893466)|HEAP_ALLOCATE|[139]|Bytes:6
14:24:34.0 (909039)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:174
14:24:34.0 (913232)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
14:24:34.0 (916534)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:758
14:24:34.0 (926021)|METHOD_ENTRY|[33]|01pm0000000YfZw|ffhttp_ClientTest.ffhttp_ClientTest()
14:24:34.0 (932555)|STATEMENT_EXECUTE|[33]
14:24:34.0 (937155)|STATEMENT_EXECUTE|[33]
14:24:34.0 (938706)|STATEMENT_EXECUTE|[540]
14:24:34.0 (940251)|STATEMENT_EXECUTE|[550]
14:24:34.0 (941579)|STATEMENT_EXECUTE|[559]
14:24:34.0 (942896)|STATEMENT_EXECUTE|[567]
14:24:34.0 (944454)|STATEMENT_EXECUTE|[578]
14:24:34.0 (945779)|STATEMENT_EXECUTE|[593]
14:24:34.0 (947217)|STATEMENT_EXECUTE|[604]
14:24:34.0 (948536)|STATEMENT_EXECUTE|[615]
14:24:34.0 (951941)|METHOD_EXIT|[33]|ffhttp_ClientTest
14:24:34.0 (985899)|HEAP_ALLOCATE|[50]|Bytes:5
14:24:34.0 (1008639)|HEAP_ALLOCATE|[56]|Bytes:5
14:24:34.0 (1017385)|HEAP_ALLOCATE|[64]|Bytes:7
14:24:34.0 (1054572)|STATEMENT_EXECUTE|[471]
14:24:34.0 (1056608)|STATEMENT_EXECUTE|[473]
14:24:34.0 (1067248)|METHOD_ENTRY|[473]|01pm0000000YfZw|ffhttp_ClientTest.getDefaultClientRequest()
14:24:34.0 (6977043)|STATEMENT_EXECUTE|[531]
14:24:34.0 (6981230)|STATEMENT_EXECUTE|[532]
14:24:34.0 (10472278)|HEAP_ALLOCATE|[532]|Bytes:3
14:24:34.0 (10538148)|HEAP_ALLOCATE|[532]|Bytes:12
