35.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:31:36.0 (592429)|USER_INFO|[EXTERNAL]|00518000002hPQO|matthew.billups@matsonmoney.com.mbill|Mountain Standard Time|GMT-07:00
15:31:36.0 (639475)|EXECUTION_STARTED
15:31:36.0 (644897)|CODE_UNIT_STARTED|[EXTERNAL]|01pm0000000bN0j|MatsonEventsTriggerTests.eventRecordTypeChange()
15:31:36.0 (809937)|HEAP_ALLOCATE|[72]|Bytes:3
15:31:36.0 (833808)|HEAP_ALLOCATE|[77]|Bytes:152
15:31:36.0 (845968)|HEAP_ALLOCATE|[342]|Bytes:408
15:31:36.0 (861397)|HEAP_ALLOCATE|[355]|Bytes:408
15:31:36.0 (874893)|HEAP_ALLOCATE|[467]|Bytes:48
15:31:36.0 (898660)|HEAP_ALLOCATE|[139]|Bytes:6
15:31:36.0 (913949)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
15:31:36.0 (918785)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:160
15:31:36.0 (930028)|METHOD_ENTRY|[2]|01pm0000000bN0j|MatsonEventsTriggerTests.MatsonEventsTriggerTests()
15:31:36.0 (936763)|STATEMENT_EXECUTE|[2]
15:31:36.0 (941705)|STATEMENT_EXECUTE|[2]
15:31:36.0 (945725)|METHOD_EXIT|[2]|MatsonEventsTriggerTests
15:31:36.0 (1084650)|HEAP_ALLOCATE|[50]|Bytes:5
15:31:36.0 (1104638)|HEAP_ALLOCATE|[56]|Bytes:5
15:31:36.0 (1112417)|HEAP_ALLOCATE|[64]|Bytes:7
15:31:36.0 (1138611)|STATEMENT_EXECUTE|[60]
15:31:36.0 (1140744)|STATEMENT_EXECUTE|[62]
15:31:36.0 (23682697)|VARIABLE_SCOPE_BEGIN|[10]|fflib_ApexMocks.NEVER|Integer|false|true
15:31:36.0 (23725574)|HEAP_ALLOCATE|[62]|Bytes:18
15:31:36.0 (23733261)|HEAP_ALLOCATE|[62]|Bytes:176
15:31:36.0 (23736818)|HEAP_ALLOCATE|[62]|Bytes:119
15:31:36.0 (23751814)|METHOD_ENTRY|[8]|01pm0000000YfaH|fflib_ApexMocks.fflib_ApexMocks()
15:31:36.0 (23757367)|STATEMENT_EXECUTE|[8]
15:31:36.0 (23760694)|STATEMENT_EXECUTE|[8]
15:31:36.0 (24194146)|SYSTEM_MODE_ENTER|false
15:31:36.0 (24208383)|HEAP_ALLOCATE|[10]|Bytes:5
15:31:36.0 (24214302)|STATEMENT_EXECUTE|[10]
15:31:36.0 (24219826)|HEAP_ALLOCATE|[10]|Bytes:4
15:31:36.0 (24240845)|VARIABLE_ASSIGNMENT|[10]|fflib_ApexMocks.NEVER|0
15:31:36.0 (24245733)|STATEMENT_EXECUTE|[287]
15:31:36.0 (24249794)|SYSTEM_MODE_EXIT|false
15:31:36.0 (24259955)|METHOD_EXIT|[8]|fflib_ApexMocks
15:31:36.0 (56751898)|VARIABLE_SCOPE_BEGIN|[18]|fflib_MethodCountRecorder.methodArgumentsByTypeName|Map<fflib_QualifiedMethod,List<fflib_MethodArgValues>>|true|true
15:31:36.0 (61828609)|VARIABLE_SCOPE_BEGIN|[21]|fflib_MethodCountRecorder.orderedMethodCalls|List<fflib_InvocationOnMock>|true|true
15:31:36.0 (96749730)|HEAP_ALLOCATE|[62]|Bytes:36
15:31:36.0 (96772652)|CONSTRUCTOR_ENTRY|[62]|01pm0000000YfaH|<init>()|fflib_ApexMocks
15:31:36.0 (96802353)|VARIABLE_SCOPE_BEGIN|[47]|this|fflib_ApexMocks|true|false
15:31:36.0 (96858930)|VARIABLE_ASSIGNMENT|[47]|this|{}|0x30d0520d
15:31:36.0 (97248460)|SYSTEM_MODE_ENTER|false
15:31:36.0 (97259217)|HEAP_ALLOCATE|[49]|Bytes:5
15:31:36.0 (97264740)|STATEMENT_EXECUTE|[8]
15:31:36.0 (97268447)|HEAP_ALLOCATE|[49]|Bytes:5
15:31:36.0 (97271952)|STATEMENT_EXECUTE|[12]
15:31:36.0 (97273525)|STATEMENT_EXECUTE|[13]
15:31:36.0 (97274989)|STATEMENT_EXECUTE|[15]
15:31:36.0 (97276337)|STATEMENT_EXECUTE|[16]
15:31:36.0 (97278287)|STATEMENT_EXECUTE|[17]
15:31:36.0 (97280119)|STATEMENT_EXECUTE|[19]
15:31:36.0 (97281516)|STATEMENT_EXECUTE|[21]
15:31:36.0 (97282858)|STATEMENT_EXECUTE|[31]
15:31:36.0 (97292765)|HEAP_ALLOCATE|[49]|Bytes:6
15:31:36.0 (97333419)|STATEMENT_EXECUTE|[48]
15:31:36.0 (97335256)|STATEMENT_EXECUTE|[49]
15:31:36.0 (97442893)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x30d0520d
15:31:36.0 (97456137)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|false
15:31:36.0 (97463682)|HEAP_ALLOCATE|[19]|Bytes:5
15:31:36.0 (97473840)|VARIABLE_ASSIGNMENT|[19]|this.Verifying|false|0x30d0520d
15:31:36.0 (97485136)|STATEMENT_EXECUTE|[51]
15:31:36.0 (97489452)|HEAP_ALLOCATE|[51]|Bytes:8
15:31:36.0 (97504538)|METHOD_ENTRY|[8]|01pm0000000Yfai|fflib_MethodCountRecorder.fflib_MethodCountRecorder()
15:31:36.0 (97509898)|STATEMENT_EXECUTE|[8]
15:31:36.0 (97512322)|STATEMENT_EXECUTE|[8]
15:31:36.0 (97517629)|HEAP_ALLOCATE|[19]|Bytes:5
15:31:36.0 (97521797)|STATEMENT_EXECUTE|[18]
15:31:36.0 (97536650)|HEAP_ALLOCATE|[19]|Bytes:4
15:31:36.0 (97578134)|VARIABLE_ASSIGNMENT|[18]|fflib_MethodCountRecorder.methodArgumentsByTypeName|{}|0x46d867d3
15:31:36.0 (97585115)|STATEMENT_EXECUTE|[21]
15:31:36.0 (97593751)|HEAP_ALLOCATE|[22]|Bytes:4
15:31:36.0 (97660641)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:31:36.0 (97674014)|VARIABLE_ASSIGNMENT|[21]|fflib_MethodCountRecorder.orderedMethodCalls|[]|0x1839001c
15:31:36.0 (97685086)|METHOD_EXIT|[8]|fflib_MethodCountRecorder
15:31:36.0 (97695715)|HEAP_ALLOCATE|[51]|Bytes:4
15:31:36.0 (97704984)|CONSTRUCTOR_ENTRY|[51]|01pm0000000Yfai|<init>()|fflib_MethodCountRecorder
15:31:36.0 (97719812)|VARIABLE_SCOPE_BEGIN|[8]|this|fflib_MethodCountRecorder|true|false
15:31:36.0 (97737389)|VARIABLE_ASSIGNMENT|[8]|this|{}|0x3971aff1
15:31:36.0 (97747249)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:31:36.0 (97762572)|STATEMENT_EXECUTE|[8]
15:31:36.0 (97765484)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:31:36.0 (97771768)|CONSTRUCTOR_EXIT|[51]|01pm0000000Yfai|<init>()|fflib_MethodCountRecorder
15:31:36.0 (97792428)|VARIABLE_ASSIGNMENT|[51]|this.methodCountRecorder|0x3971aff1|0x30d0520d
15:31:36.0 (97798500)|STATEMENT_EXECUTE|[52]
15:31:36.0 (97802824)|HEAP_ALLOCATE|[52]|Bytes:8
15:31:36.0 (97807659)|HEAP_ALLOCATE|[52]|Bytes:148
15:31:36.0 (97811648)|HEAP_ALLOCATE|[52]|Bytes:38
15:31:36.0 (97823558)|METHOD_ENTRY|[10]|01pm0000000Yfb8|fflib_VerificationMode.fflib_VerificationMode()
15:31:36.0 (97829004)|STATEMENT_EXECUTE|[10]
15:31:36.0 (97831858)|STATEMENT_EXECUTE|[10]
15:31:36.0 (97835397)|HEAP_ALLOCATE|[52]|Bytes:5
15:31:36.0 (97841715)|METHOD_EXIT|[10]|fflib_VerificationMode
15:31:36.0 (98027788)|HEAP_ALLOCATE|[52]|Bytes:20
15:31:36.0 (98040154)|CONSTRUCTOR_ENTRY|[52]|01pm0000000Yfb8|<init>()|fflib_VerificationMode
15:31:36.0 (98059018)|VARIABLE_SCOPE_BEGIN|[20]|this|fflib_VerificationMode|true|false
15:31:36.0 (98089788)|VARIABLE_ASSIGNMENT|[20]|this|{}|0x517d328
15:31:36.0 (98101554)|HEAP_ALLOCATE|[22]|Bytes:5
15:31:36.0 (98105892)|STATEMENT_EXECUTE|[10]
15:31:36.0 (98108467)|HEAP_ALLOCATE|[22]|Bytes:5
15:31:36.0 (98111640)|STATEMENT_EXECUTE|[12]
15:31:36.0 (98113525)|STATEMENT_EXECUTE|[13]
15:31:36.0 (98114925)|STATEMENT_EXECUTE|[14]
15:31:36.0 (98116307)|STATEMENT_EXECUTE|[18]
15:31:36.0 (98129742)|STATEMENT_EXECUTE|[21]
15:31:36.0 (98131491)|STATEMENT_EXECUTE|[22]
15:31:36.0 (98191625)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x517d328
15:31:36.0 (98202250)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|1
15:31:36.0 (98207969)|HEAP_ALLOCATE|[12]|Bytes:4
