41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:24:24.0 (266929)|USER_INFO|[EXTERNAL]|00518000002hPQO|matthew.billups@matsonmoney.com.mbill|Mountain Standard Time|GMT-07:00
14:24:24.0 (305154)|EXECUTION_STARTED
14:24:24.0 (310773)|CODE_UNIT_STARTED|[EXTERNAL]|01p3600000JVcHR|mm_UpdateEventQuestionPreviewTEST.testmm_UpdateEventQuestionPreviewTEST()
14:24:24.0 (504415)|HEAP_ALLOCATE|[72]|Bytes:3
14:24:24.0 (534310)|HEAP_ALLOCATE|[77]|Bytes:152
14:24:24.0 (549217)|HEAP_ALLOCATE|[342]|Bytes:408
14:24:24.0 (564506)|HEAP_ALLOCATE|[355]|Bytes:408
14:24:24.0 (577909)|HEAP_ALLOCATE|[467]|Bytes:48
14:24:24.0 (604405)|HEAP_ALLOCATE|[139]|Bytes:6
14:24:24.0 (619394)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:160
14:24:24.0 (631210)|METHOD_ENTRY|[1]|01p3600000JVcHR|mm_UpdateEventQuestionPreviewTEST.mm_UpdateEventQuestionPreviewTEST()
14:24:24.0 (636442)|STATEMENT_EXECUTE|[1]
14:24:24.0 (639980)|STATEMENT_EXECUTE|[1]
14:24:24.0 (664637)|HEAP_ALLOCATE|[50]|Bytes:5
14:24:24.0 (685150)|HEAP_ALLOCATE|[56]|Bytes:5
14:24:24.0 (693611)|HEAP_ALLOCATE|[64]|Bytes:7
14:24:24.0 (1033797)|SYSTEM_MODE_ENTER|false
14:24:24.0 (1047753)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:24:24.0 (1056141)|SYSTEM_MODE_EXIT|false
14:24:24.0 (1064837)|METHOD_EXIT|[1]|mm_UpdateEventQuestionPreviewTEST
14:24:24.0 (1099653)|SYSTEM_MODE_ENTER|false
14:24:24.0 (1105899)|HEAP_ALLOCATE|[4]|Bytes:5
14:24:24.0 (1110924)|STATEMENT_EXECUTE|[2]
14:24:24.0 (1112727)|STATEMENT_EXECUTE|[4]
14:24:24.0 (1115543)|HEAP_ALLOCATE|[4]|Bytes:83
14:24:24.0 (1130298)|HEAP_ALLOCATE|[4]|Bytes:4
14:24:24.0 (1310366)|SOQL_EXECUTE_BEGIN|[4]|Aggregations:0|SELECT ID FROM RecordType WHERE (name = 'New' AND SobjectType = 'EventQuestion__c')
14:24:24.0 (18082037)|SOQL_EXECUTE_END|[4]|Rows:1
14:24:24.0 (18106835)|HEAP_ALLOCATE|[4]|Bytes:8
14:24:24.0 (18121639)|HEAP_ALLOCATE|[4]|Bytes:29
14:24:24.0 (18222011)|HEAP_ALLOCATE|[4]|Bytes:8
14:24:24.0 (18237480)|HEAP_ALLOCATE|[4]|Bytes:36
14:24:24.0 (18291431)|HEAP_ALLOCATE|[4]|Bytes:8
14:24:24.0 (18300492)|VARIABLE_SCOPE_BEGIN|[4]|RTNew|RecordType|true|false
14:24:24.0 (18326378)|VARIABLE_ASSIGNMENT|[4]|RTNew|{"Id":"012360000019uNkAAI"}|0x774a85d6
14:24:24.0 (18333735)|STATEMENT_EXECUTE|[5]
14:24:24.0 (18337119)|HEAP_ALLOCATE|[5]|Bytes:86
14:24:24.0 (18352089)|HEAP_ALLOCATE|[5]|Bytes:4
14:24:24.0 (18540708)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT ID FROM RecordType WHERE (name = 'In Use' AND SobjectType = 'EventQuestion__c')
14:24:24.0 (22117304)|SOQL_EXECUTE_END|[5]|Rows:1
14:24:24.0 (22136254)|HEAP_ALLOCATE|[5]|Bytes:8
14:24:24.0 (22147938)|HEAP_ALLOCATE|[5]|Bytes:29
14:24:24.0 (22173187)|HEAP_ALLOCATE|[5]|Bytes:8
14:24:24.0 (22194640)|HEAP_ALLOCATE|[5]|Bytes:8
14:24:24.0 (22202521)|VARIABLE_SCOPE_BEGIN|[5]|RTInUse|RecordType|true|false
14:24:24.0 (22219983)|VARIABLE_ASSIGNMENT|[5]|RTInUse|{"Id":"012360000019uNjAAI"}|0x10b6916e
14:24:24.0 (22226446)|STATEMENT_EXECUTE|[7]
14:24:24.0 (22257225)|HEAP_ALLOCATE|[7]|Bytes:4
14:24:24.0 (22320896)|VARIABLE_SCOPE_BEGIN|[7]|ven|Venue__c|true|false
14:24:24.0 (22335538)|VARIABLE_ASSIGNMENT|[7]|ven|{}|0x62836bd8
14:24:24.0 (22341243)|STATEMENT_EXECUTE|[9]
